epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
0,0.6369561553,0.573828712106,5.67447125415,0.025,0.0157984420657,0.0157988169541,16.512564977
1,0.682915752133,0.618393545349,3.54522796472,0.025,0.0157984420657,0.0157991633095,16.6487776438
2,0.720042044918,0.661197115978,2.94325949748,0.025,0.198767850796,0.195672765374,10.853263855
3,0.747816468279,0.690507690112,2.69406844179,0.025,0.200876618425,0.193261792262,10.0400409698
4,0.765359183153,0.709730163217,2.42129739126,0.025,0.244934335351,0.244117716948,9.17869011561
5,0.772594516476,0.717170228561,2.27345752716,0.025,0.252202356855,0.240588838855,5.68459073702
6,0.785698890686,0.740564495325,1.86366784573,0.025,0.42227045695,0.409006396929,4.34443887075
7,0.78706385692,0.744180167715,1.80973055959,0.025,0.467418422302,0.44389167428,2.88977154096
8,0.781597961982,0.735309451818,2.09763065974,0.025,0.378572841485,0.366884171963,3.95787930489
9,0.779003779093,0.723885084192,2.05712623398,0.025,0.325673679511,0.315057694912,5.01928329468
10,0.777474343777,0.727842042844,1.96365932624,0.025,0.633268475533,0.628100554148,2.3271985054
11,0.77685115238,0.733014300466,1.93926814198,0.025,0.723373393218,0.707157532374,1.57236099243
12,0.799919764201,0.755149980386,1.5658501784,0.025,0.707694490751,0.696466883024,1.9155005614
13,0.784140452743,0.736225595077,1.75371205807,0.025,0.576594799757,0.565940648317,3.47185540199
14,0.802255953352,0.758559435606,1.39311445753,0.025,0.60118000706,0.595612605413,2.77590163549
15,0.814449623227,0.773384526372,1.17771081626,0.025,0.653737147649,0.646935284138,2.73960614204
16,0.811494896809,0.769103308519,1.27120147149,0.025,0.724519868692,0.708270887534,1.40637501081
17,0.793316076199,0.753097464641,1.54697749515,0.025,0.562069197496,0.545668055614,2.01304546992
18,0.797197088599,0.750248447061,1.44336610536,0.025,0.559541563193,0.549053798119,3.17117961248
19,0.788550496101,0.751088971893,1.54665105542,0.025,0.477424869935,0.454793781042,2.34358263016
20,0.813284362356,0.769246801734,1.13844506443,0.025,0.567882537842,0.534873217344,1.73857204119
21,0.807220965624,0.767780169845,1.26895611982,0.025,0.649437983831,0.641732056936,3.01335875193
22,0.796787083149,0.760502735774,1.40013378859,0.025,0.415453344584,0.393085857232,2.29925429821
23,0.81601391236,0.766685222586,1.24314798415,0.0125,0.520181775093,0.499033510685,3.21504934629
24,0.824887981017,0.784326945742,0.894243816535,0.0125,0.524951954683,0.513973305623,2.66034706434
25,0.832117776076,0.796760087212,0.675199934592,0.0125,0.6675948898,0.644793887933,1.51511347294
26,0.830332880219,0.800547073285,0.655705176294,0.0125,0.639334599177,0.614680886269,1.84143590927
27,0.831852595011,0.793693413337,0.736137269686,0.0125,0.625636041164,0.617460946242,2.02443726858
28,0.810791909695,0.775937989354,1.11748930812,0.0125,0.70383810997,0.659213006496,1.02258779605
29,0.823391417662,0.783895348509,0.815742975101,0.0125,0.715654492378,0.706300894419,1.35480690002
30,0.826246008277,0.793106978138,0.714612898727,0.0125,0.672581235568,0.633952558041,1.14129285018
31,0.831130281091,0.796290035049,0.729799146454,0.0125,0.698350270589,0.69607681036,1.54650646448
